time,value,function_name,image,replica_id,node_name,successful
2026-07-06 21:38:44.886718,queue,image-cache-first,image-cache-shared-cpu,1887441864752,,
2026-07-06 21:38:44.886879,start,image-cache-first,image-cache-shared-cpu,1887441864752,,
2026-07-06 21:38:44.887339,finish,image-cache-first,image-cache-shared-cpu,1887441864752,server_0,True
2026-07-06 21:38:44.889026,queue,image-cache-second,image-cache-shared-cpu,1887441527632,,
2026-07-06 21:38:44.889190,start,image-cache-second,image-cache-shared-cpu,1887441527632,,
2026-07-06 21:38:44.889340,finish,image-cache-second,image-cache-shared-cpu,1887441527632,server_0,True
