scenario,flow_id,action_type,source,sink,start_time,finish_time,duration,bytes,size_mb,rtt_ms,hop_count,hops,bottleneck_link,bottleneck_bandwidth_mbps
single_flow,single_a_to_cloud,data_transfer,edge_client_a,cloud_server,0.0,24.862268041237115,24.862268041237115,30000000,30.0,80,3,access_a -> bottleneck -> cloud_access,bottleneck,10
concurrent_bottleneck,flow_c,data_transfer,edge_client_c,cloud_server,0.0,74.34680412371134,74.34680412371134,30000000,30.0,80,3,access_c -> bottleneck -> cloud_access,bottleneck,10
concurrent_bottleneck,flow_a,data_transfer,edge_client_a,cloud_server,0.0,74.34680412371134,74.34680412371134,30000000,30.0,80,3,access_a -> bottleneck -> cloud_access,bottleneck,10
concurrent_bottleneck,flow_b,data_transfer,edge_client_b,cloud_server,0.0,74.34680412371134,74.34680412371134,30000000,30.0,80,3,access_b -> bottleneck -> cloud_access,bottleneck,10
